Version;SupportBegin;SupportEnd
1.0.0;2025-01-04T02:00:39;2027-04-04T02:00:39
1.0.1;2025-06-29T00:00:00;2027-09-28T00:00:00
1.1.0;2025-07-10T00:00:00;2027-10-09T00:00:00
1.1.1;2025-10-11T00:00:00;2027-01-10T00:00:00
1.1.2;2025-10-12T00:00:00;2027-01-11T00:00:00
1.1.3;2025-10-12T00:00:00;2027-01-11T00:00:00
1.1.4;2025-10-12T00:00:00;2027-01-11T00:00:00
2.0.0;2025-11-23T00:00:00;2027-02-22T00:00:00
2.0.1;2025-11-29T00:00:00;2027-02-28T00:00:00
2.0.2;2025-12-21T00:00:00;2027-03-22T00:00:00
2.0.3;2025-12-23T00:00:00;2027-03-24T00:00:00
